shop,area,contact_name,contact_email,instagram,channel,date_contacted,status,last_followup_date,notes
Sweet N' Salty (Panda Tea Lounge),Collegetown / Ithaca,,sweetnsaltystore@gmail.com,@_sweetnsaltystore_,email,2026-06-27,Draft created,,407 Eddy St; runs Panda Tea Lounge boba menu; steps from Cornell
Dream Tea & Poké,Collegetown / Ithaca,,,@dreamteaandpoke,instagram,,To DM,,130 E Seneca St; no public email; signature Yaxi (Fenghuang Dancong) tea
U Tea,Collegetown / Ithaca,,,@uteausa,instagram,,To DM,,205 Dryden Rd; longtime Cornell student favorite; no public email
Cha Chi,Collegetown / Ithaca,,,,instagram/in-person,,To research,,114 Dryden Rd; formerly Ninja Chicken & Friends; find handle
Hana Tea,Honolulu / Oʻahu,,hanatea808@gmail.com,@hanatea808,email,2026-06-27,Draft created,,665 Halekauwila St Kakaʻako; brown sugar milk tea + bruleed cheese foam
Lunar Tea,Honolulu / Oʻahu,,,@lunarteahawaii,instagram/phone,,To DM,,2334 S King St Mōʻiliʻili near UH Mānoa; (808) 892-1018
Boba House,Honolulu / Oʻahu,,,,instagram/phone,,To research,,1610 S King St Mōʻiliʻili near UH Mānoa; owner Stanley; (808) 200-5070; find IG handle
Shaka Shaka Tea Express,Honolulu / Oʻahu,,,@shakashakateaexpress,instagram/phone,,To DM,,2600 S King St near UH Mānoa; local multi-location; (808) 200-2866
Taichi Bubble Tea,Ithaca,,,,skip,,Skipped,,50+ location chain — not a per-neighborhood founding-partner fit
Cowcow's Tea,Honolulu / Oʻahu,,cowcowstea@gmail.com,@cowcowstea,email,2026-06-29,Draft created,,3620 Waialae Ave Kaimukī; veteran-owned; signature Taro Purple Rice Yogurt (first in HI with purple rice); labeled Mr Tapioca Outreach
QQ Tea House,Honolulu / Oʻahu,,,@qqteahousehi,instagram/phone,2026-06-29,To DM,,931 University Ave #109 — closest boba to UH Mānoa; family-run vegan-friendly Taiwanese tea house; (808) 941-6688; no public email
Coffee or Tea? (McCully),Honolulu / Oʻahu,,,@coffeeorteahawaii,instagram/phone,2026-06-29,To DM,,1960 Kapiolani Blvd #106 McCully ~10-min walk to UH Mānoa; OG since 1999; ~4 Oʻahu locations — pitch McCully store only; (808) 942-4357; no public email
Saigon Kitchen,Collegetown / Ithaca,,,,phone/in-person,2026-06-29,To research,,526 W State St; family-owned (Lam) Vietnamese; lists bubble tea but VERIFY boba still served before pitching; (607) 257-8881
BoTea,Honolulu / Oʻahu,,,,noted,,Noted — not drafted,,919 Ala Moana Blvd; original grilled cheese & boba sandwich; mostly farmers markets / limited storefront hours — weak walk-in fit
Boba Bros,Honolulu / Oʻahu,,,,noted,,Noted — not drafted,,777 Ward Ave; organic real-ingredient milk tea; farmers-market only — no walk-in storefront
Kung Fu Tea,Collegetown / Ithaca,,,,skip,,Skipped,,143 Dryden Rd; national chain — not a per-neighborhood founding-partner fit
Mango Mango,Collegetown / Ithaca,,,@ithacamango,skip,,Closed,,159 Dryden Rd; permanently closed Oct 2025
